time,wti_spot,brent_spot,gasoline_spot,jet_fuel_spot,gold_price,financial_crisis,gold_price_wti_spot_ratio,gold_price_brent_spot_ratio
1990-01-01,22.86,21.25,0.638,,410.118,1,17.94041995,19.29967059
1990-02-01,22.11,19.81,0.583,,416.543,1,18.83957485,21.0269056
1990-03-01,20.39,18.39,0.578,,393.661,1,19.30657185,21.4062534
1990-04-01,18.43,16.61,0.617,0.54,374.929,1,20.34340749,22.57248645
1990-05-01,18.2,16.35,0.667,0.515,368.855,1,20.26675824,22.55993884
1990-06-01,16.7,15.1,0.613,0.494,352.657,1,21.11718563,23.35476821
1990-07-01,18.45,17.17,0.602,0.535,361.82,1,19.61084011,21.0728014
1990-08-01,27.31,27.17,0.866,0.791,394.861,1,14.45847675,14.53297755
1990-09-01,33.51,34.9,0.95,1.012,389.56,1,11.62518651,11.16217765
1990-10-01,36.04,36.02,0.898,1.196,381.333,1,10.58082686,10.58670183
1990-11-01,32.33,33.07,0.829,0.971,381.866,1,11.81150634,11.5472029
1990-12-01,27.28,28.27,0.649,0.803,378.161,1,13.86220674,13.37675982
1991-01-01,25.23,23.57,0.668,0.741,384.591,2,15.24340071,16.31697073
1991-02-01,20.48,19.54,0.606,0.637,363.748,2,17.76113281,18.61555783
1991-03-01,19.9,19.08,0.674,0.558,363.39,2,18.26080402,19.04559748
1991-04-01,20.83,19.18,0.706,0.552,358.055,2,17.1893903,18.6681439
1991-05-01,21.23,19.19,0.693,0.569,357.117,2,16.82133773,18.60953622
1991-06-01,20.19,18.17,0.615,0.547,366.36,2,18.14561664,20.16290589
1991-07-01,21.4,19.4,0.634,0.586,368.013,2,17.19686916,18.96974227
1991-08-01,21.69,19.77,0.671,0.623,356.721,2,16.44633472,18.04355083
1991-09-01,21.89,20.5,0.6,0.635,348.46,2,15.91868433,16.99804878
1991-10-01,23.23,22.21,0.618,0.671,358.826,2,15.4466638,16.15605583
1991-11-01,22.46,21.11,0.617,0.645,359.96,2,16.02671416,17.0516343
1991-12-01,19.5,18.41,0.517,0.522,361.875,2,18.55769231,19.65643672
1992-01-01,18.79,18.16,0.508,0.509,354.436,1,18.86301224,19.51740088
1992-02-01,19.01,18.05,0.536,0.543,353.853,1,18.61404524,19.60404432
1992-03-01,18.92,17.63,0.553,0.514,344.641,1,18.21569767,19.5485536
1992-04-01,20.23,18.92,0.605,0.543,338.728,1,16.74384577,17.90317125
1992-05-01,20.98,19.89,0.633,0.579,337.039,1,16.06477598,16.94514832
1992-06-01,22.39,21.16,0.64,0.615,340.784,1,15.22036623,16.10510397
1992-07-01,21.78,20.24,0.587,0.611,352.452,1,16.18236915,17.41363636
1992-08-01,21.34,19.74,0.6,0.59,343.603,1,16.10135895,17.40643364
1992-09-01,21.88,20.27,0.59,0.623,345.3,1,15.78153565,17.03502713
1992-10-01,21.69,20.26,0.596,0.621,344.277,1,15.87261411,16.99294176
1992-11-01,20.34,19.21,0.54,0.561,334.924,1,16.46627335,17.43487767
1992-12-01,19.41,18.14,0.508,0.544,334.657,1,17.24147347,18.4485667
1993-01-01,19.03,17.39,0.514,0.534,328.993,1,17.28812401,18.91851639
1993-02-01,20.09,18.47,0.508,0.553,329.31,1,16.39173718,17.82945317
1993-03-01,20.32,18.79,0.559,0.558,329.974,1,16.23887795,17.56114955
1993-04-01,20.25,18.67,0.598,0.551,341.948,1,16.88632099,18.31537225
1993-05-01,19.95,18.51,0.601,0.553,367.045,1,18.39824561,19.82955159
1993-06-01,19.09,17.65,0.548,0.526,371.914,1,19.48213724,21.07161473
1993-07-01,17.89,16.78,0.504,0.494,392.034,1,21.91358301,23.36317044
1993-08-01,18.01,16.7,0.519,0.501,379.795,1,21.08800666,22.74221557
1993-09-01,17.5,16.01,0.481,0.535,355.561,1,20.31777143,22.20868207
1993-10-01,18.15,16.61,0.483,0.568,364.005,1,20.0553719,21.91481036
1993-11-01,16.61,15.2,0.426,0.533,373.939,1,22.5128838,24.60125
1993-12-01,14.52,13.73,0.362,0.446,383.243,1,26.39414601,27.91281865
1994-01-01,15.03,14.29,0.419,0.528,387.11,1,25.75582169,27.08957313
1994-02-01,14.78,13.8,0.44,0.501,381.658,1,25.82259811,27.65637681
1994-03-01,14.68,13.82,0.456,0.451,384,1,26.15803815,27.78581766
1994-04-01,16.42,15.23,0.494,0.469,377.908,1,23.01510353,24.81339462
1994-05-01,17.89,16.19,0.494,0.472,381.343,1,21.31598658,23.55423101
1994-06-01,19.06,16.76,0.528,0.493,385.714,1,20.23683106,23.01396181
1994-07-01,19.66,17.6,0.544,0.509,385.45,1,19.60579858,21.90056818
1994-08-01,18.38,16.89,0.544,0.498,380.207,1,20.6859086,22.51077561
1994-09-01,17.45,15.9,0.445,0.49,391.348,1,22.42681948,24.61308176
1994-10-01,17.72,16.49,0.492,0.509,390.164,1,22.01828442,23.66064281
1994-11-01,18.07,17.19,0.465,0.513,384.377,1,21.27155506,22.36050029
1994-12-01,17.16,15.93,0.432,0.487,379.48,1,22.11421911,23.82172003
1995-01-01,18.04,16.55,0.477,0.472,378.738,1,20.9943459,22.8844713
1995-02-01,18.57,17.11,0.489,0.467,376.745,1,20.28782983,22.01899474
1995-03-01,18.54,17.01,0.49,0.449,381.82,1,20.59439051,22.446796
1995-04-01,19.9,18.65,0.593,0.5,391.339,1,19.66527638,20.9833244
1995-05-01,19.74,18.35,0.636,0.511,385.231,1,19.51524823,20.99351499
1995-06-01,18.45,17.31,0.551,0.478,387.618,1,21.00910569,22.39272097
1995-07-01,17.33,15.85,0.48,0.467,386.138,1,22.28147721,24.36201893
1995-08-01,18.02,16.1,0.504,0.496,383.502,1,21.28201998,23.82
1995-09-01,18.23,16.7,0.505,0.513,382.931,1,21.00554032,22.93
1995-10-01,17.43,16.11,0.45,0.502,383.202,1,21.98519793,23.78659218
1995-11-01,17.99,16.86,0.457,0.524,385.209,1,21.41239578,22.8475089
1995-12-01,19.03,17.93,0.479,0.553,387.445,1,20.35969522,21.60875627
1996-01-01,18.86,17.85,0.494,0.55,398.695,1,21.13971368,22.33585434
1996-02-01,19.09,18,0.514,0.557,404.919,1,21.21105291,22.4955
1996-03-01,21.33,19.85,0.581,0.586,396.512,1,18.58940459,19.97541562
1996-04-01,23.5,20.9,0.66,0.617,392.87,1,16.71787234,18.79760766
1996-05-01,21.17,19.15,0.627,0.557,391.99,1,18.51629665,20.4694517
1996-06-01,20.42,18.46,0.566,0.516,385.245,1,18.86606268,20.8691766
1996-07-01,21.3,19.57,0.59,0.556,383.457,1,18.00267606,19.59412366
1996-08-01,21.9,20.51,0.579,0.615,387.51,1,17.69452055,18.89371039
1996-09-01,23.97,22.63,0.59,0.682,383.29,1,15.99040467,16.93725144
1996-10-01,24.88,24.16,0.647,0.703,380.909,1,15.30984727,15.76610099
1996-11-01,23.71,22.76,0.661,0.696,377.869,1,15.93711514,16.60232865
1996-12-01,25.23,23.78,0.648,0.693,369.338,1,14.63884265,15.531455
1997-01-01,25.13,23.54,0.67,0.68,355.025,1,14.12753681,15.0817757
1997-02-01,22.18,20.85,0.62,0.619,346.4,1,15.61767358,16.61390887
1997-03-01,20.97,19.13,0.614,0.557,352.311,1,16.80071531,18.41667538
1997-04-01,19.7,17.56,0.585,0.541,344.707,1,17.49781726,19.63023918
1997-05-01,20.82,19.02,0.608,0.549,344.1,1,16.52737752,18.09148265
1997-06-01,19.26,17.58,0.552,0.523,340.805,1,17.69496366,19.38594994
1997-07-01,19.66,18.46,0.591,0.536,323.78,1,16.46897253,17.53954496
1997-08-01,19.95,18.6,0.646,0.559,323.998,1,16.24050125,17.41924731
1997-09-01,19.8,18.46,0.562,0.541,322.616,1,16.29373737,17.47648971
1997-10-01,21.33,19.87,0.549,0.571,324.863,1,15.23033286,16.34942124
1997-11-01,20.19,19.17,0.528,0.549,306.345,1,15.1731055,15.98043818
1997-12-01,18.33,17.18,0.498,0.496,288.776,1,15.7542826,16.8088475
1998-01-01,16.72,15.19,0.46,0.476,289.264,1,17.30047847,19.04305464
1998-02-01,16.06,14.07,0.449,0.449,297.743,1,18.53941469,21.1615494
1998-03-01,15.12,13.1,0.428,0.413,295.87,1,19.56812169,22.58549618
1998-04-01,15.35,13.53,0.465,0.426,308.558,1,20.10149837,22.80546933
1998-05-01,14.91,14.36,0.48,0.416,298.971,1,20.05171026,20.81970752
1998-06-01,13.72,12.21,0.437,0.389,292.223,1,21.29905248,23.93308763
1998-07-01,14.17,12.08,0.417,0.386,292.874,1,20.66859562,24.24453642
1998-08-01,13.47,11.91,0.375,0.372,284.228,1,21.10081663,23.86465155
1998-09-01,15.03,13.34,0.403,0.42,288.661,1,19.20565536,21.63875562
1998-10-01,14.46,12.7,0.414,0.42,296.595,1,20.51141079,23.35393701
1998-11-01,13,11.04,0.337,0.371,294.243,1,22.63407692,26.65244565
1998-12-01,11.35,9.82,0.294,0.304,291.357,1,25.67022026,29.6697556
1999-01-01,12.52,11.11,0.324,0.334,287.333,3,22.94992013,25.86255626
1999-02-01,12.01,10.27,0.302,0.309,287.495,3,23.93796836,27.99367089
1999-03-01,14.68,12.51,0.418,0.378,286.243,3,19.49884196,22.88113509
1999-04-01,17.31,15.29,0.498,0.43,282.62,3,16.32697863,18.48397646
1999-05-01,17.72,15.23,0.483,0.415,276.932,3,15.6282167,18.18332239
1999-06-01,17.92,15.86,0.486,0.44,261.402,3,14.58716518,16.48184111
1999-07-01,20.1,19.08,0.569,0.512,256.198,3,12.74616915,13.42756813
1999-08-01,21.28,20.22,0.607,0.564,256.936,3,12.07406015,12.70702275
1999-09-01,23.8,22.54,0.643,0.614,264.47,3,11.11218487,11.73336291
1999-10-01,22.69,22,0.592,0.595,311.562,3,13.73124725,14.16190909
1999-11-01,25,24.58,0.659,0.661,293.65,3,11.746,11.94670464
1999-12-01,26.1,25.47,0.653,0.701,283.743,3,10.87137931,11.14028269
2000-01-01,27.26,25.51,0.695,0.781,284.59,4,10.43983859,11.15601725
2000-02-01,29.37,27.78,0.819,0.78,300.855,4,10.24361593,10.82991361
2000-03-01,29.84,27.49,0.857,0.771,286.704,4,9.608042895,10.42939251
2000-04-01,25.72,22.76,0.732,0.719,279.961,4,10.88495334,12.30057118
2000-05-01,28.79,27.74,0.896,0.762,275.293,4,9.562104898,9.924044701
2000-06-01,31.82,29.8,0.959,0.785,285.368,4,8.968196103,9.576107383
2000-07-01,29.7,28.68,0.829,0.796,282.152,4,9.50006734,9.837935844
2000-08-01,31.26,30.2,0.85,0.9,274.523,4,8.781925784,9.090165563
2000-09-01,33.88,33.14,0.914,1.017,273.676,4,8.077804014,8.258177429
2000-10-01,33.11,30.96,0.879,0.982,270.405,4,8.166868016,8.734011628
2000-11-01,34.42,32.55,0.862,1.028,265.989,4,7.727745497,8.171705069
2000-12-01,28.44,25.66,0.72,0.863,271.892,4,9.560196906,10.595947
2001-01-01,29.59,25.62,0.865,0.87,265.934,3,8.987293004,10.37993755
2001-02-01,29.61,27.5,0.816,0.815,262.018,3,8.848969943,9.527927273
2001-03-01,27.25,24.5,0.771,0.748,263.273,3,9.661394495,10.74583673
2001-04-01,27.49,25.66,1.001,0.77,260.75,3,9.48526737,10.16173032
2001-05-01,28.63,28.31,0.922,0.821,272.057,3,9.502514845,9.609925821
2001-06-01,27.6,27.85,0.729,0.767,270.738,3,9.809347826,9.721292639
2001-07-01,26.43,24.61,0.674,0.711,267.707,3,10.12890655,10.87797643
2001-08-01,27.37,25.68,0.78,0.764,272.657,3,9.961892583,10.61748442
2001-09-01,26.2,25.62,0.745,0.738,282.478,3,10.78160305,11.02568306
2001-10-01,22.17,20.54,0.562,0.622,283.322,3,12.77952188,13.79367089
2001-11-01,19.64,18.8,0.501,0.543,276.248,3,14.06558045,14.69404255
2001-12-01,19.39,18.71,0.508,0.515,275.992,3,14.23372873,14.75104222
2002-01-01,19.72,19.42,0.538,0.533,281.764,4,14.28823529,14.50895984
2002-02-01,20.72,20.28,0.539,0.551,295.683,4,14.27041506,14.58002959
2002-03-01,24.53,23.7,0.714,0.63,294.353,4,11.99971464,12.41995781
2002-04-01,26.18,25.73,0.777,0.669,302.862,4,11.5684492,11.77077342
2002-05-01,27.04,25.35,0.74,0.666,314.48,4,11.63017751,12.40552268
2002-06-01,25.52,24.08,0.736,0.653,321.536,4,12.59937304,13.35282392
2002-07-01,26.97,25.74,0.756,0.691,313.567,4,11.62651094,12.18209013
2002-08-01,28.39,26.65,0.75,0.722,310.045,4,10.92092286,11.63395872
2002-09-01,29.66,28.4,0.776,0.8,318.8,4,10.74848281,11.22535211
2002-10-01,28.84,27.54,0.826,0.79,316.748,4,10.98294036,11.50137981
2002-11-01,26.35,24.34,0.691,0.708,319.255,4,12.11593928,13.11647494
2002-12-01,29.46,28.33,0.78,0.811,333.3,4,11.31364562,11.76491352
2003-01-01,32.95,31.18,0.879,0.887,356.864,4,10.83047041,11.44528544
2003-02-01,35.83,32.77,1.006,1.055,359.575,4,10.03558471,10.97268843
2003-03-01,33.51,30.61,0.963,0.893,341.564,4,10.19289764,11.15857563
2003-04-01,28.17,25,0.81,0.743,328.208,4,11.65097622,13.12832
2003-05-01,28.11,25.86,0.783,0.714,355.405,4,12.64336535,13.74342614
2003-06-01,30.66,27.65,0.826,0.748,356.912,4,11.64096543,12.90820976
2003-07-01,30.76,28.35,0.885,0.78,350.765,4,11.40328349,12.37266314
2003-08-01,31.57,29.89,0.982,0.823,358.993,4,11.37133354,12.01047173
2003-09-01,28.31,27.11,0.81,0.738,378.859,4,13.38251501,13.97488012
2003-10-01,30.34,29.61,0.844,0.82,379.093,4,12.49482531,12.80287065
2003-11-01,31.11,28.75,0.82,0.831,390.2,4,12.54259081,13.57217391
2003-12-01,32.13,29.81,0.853,0.876,407.674,4,12.68826642,13.67574639
2004-01-01,34.31,31.28,0.984,0.998,414.495,3,12.08088021,13.25111893
2004-02-01,34.69,30.86,1.027,0.933,404.73,3,11.66705102,13.11503564
